"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"PTPN11",5781
"PTPN13",5783
"PTPRB",5787
"PTPRC",5788
"PTPRD",5789
"PTPRK",5796
"RAC1",5879
"RAD17",5884
"RAD21",5885
"RAD51B",5890
"RAF1",5894
"RALGDS",5900
"RANBP2",5903
"RAP1GDS1",5910
"RARA",5914
"RB1",5925
"KDM5A",5927
"REL",5966
"RET",5979
"TRIM27",5987
"RGS7",6000
"ROBO2",6092
"ROS1",6098
"RPL5",6125
"RPL10",6134
"RPL22",6146
"RPN1",6184
"CLIP1",6249
"S100A7",6278
"SDC4",6385
"SDHA",6389
"SDHB",6390
"SDHC",6391
"SDHD",6392
"MAP2K4",6416
"SET",6418
"SFPQ",6421
"SFRP4",6424
"SRSF2",6427
"SRSF3",6428
"SGK1",6446
"SH3GL1",6455
"STIL",6491
"SIX1",6495
"SKI",6497
"SMARCA4",6597
"SMARCB1",6598
"SMARCD1",6602
"SMARCE1",6605
"SMO",6608
"SOX2",6657
"SRC",6714
"SSX1",6756
"SSX2",6757
"SSX4",6759
"SS18",6760
"STAT3",6774
"STAT5B",6777
"STAT6",6778
"STK11",6794
"STRN",6801
"SYK",6850
"TAL1",6886
"TAL2",6887
"TCEA1",6917
"TBX3",6926
"HNF1A",6927
"TCF3",6929
"TCF7L2",6934
"ZEB1",6935
"TCF12",6938
"TRA",6955
"TRB",6957
"TRD",6964
"TEC",7006
"TERT",7015
"TFE3",7030
"TFRC",7037
"TGFBR2",7048
"NKX2-1",7080
"TMPRSS2",7113
"TNFAIP3",7128
"TOP1",7150
"TP53",7157
"TPM3",7170
"TPM4",7171
"TPR",7175
"TSC1",7248
"TSC2",7249
"TSHR",7253
"U2AF1",7307
"KDM6A",7403
"VAV1",7409
"VHL",7428
"EZR",7430
"WAS",7454
"NSD2",7468
"WRN",7486
"WT1",7490
"XPA",7507
"XPC",7508
"XPO1",7514
"YWHAE",7531
"CNBP",7555
"ZBTB16",7704
"ZMYM2",7750
"PRDM2",7799
"PAX8",7849
"CXCR4",7852
"DEK",7913
"TFEB",7942
"KAT6A",7994
"NR4A3",8013
"BRD3",8019
"NUP214",8021
"MLLT10",8028
"CCDC6",8030
"NCOA4",8031
"KMT2D",8085
"HMGA2",8091
"TCL1A",8115
"TAF15",8148
"ELL",8178
"LZTR1",8216
"CLTCL1",8218
"ZRSR2",8233
"RBM10",8241
"KDM5C",8242
"SMC1A",8243
"ARID1A",8289
"H4C9",8294
"TRRAP",8295
"PICALM",8301
"AXIN1",8312
"AXIN2",8313
"BAP1",8314
"HIST1H3B",8358
"SPOP",8405
"CUL3",8452
"IRS4",8471
"PPM1D",8493
"PPFIBP1",8496
"GAS7",8522
"TP63",8626
"NCOA1",8648
"SOCS1",8651
"EED",8726
"TNFRSF14",8764
"TRIM24",8805
"GMPS",8833
"FUBP1",8880
"BCL10",8915
"PHOX2B",8929
"USP6",9098
"USP8",9101
"LATS1",9113
"RABEP1",9135
"MAP3K13",9175
"ZMYM3",9203
"KLF4",9314
"TRIP11",9321
"RECQL4",9401
"QKI",9444
"APOBEC3B",9582
"NCOR1",9611
"NCOR2",9612
"ARHGEF10",9639
"PDE4DIP",9659
"HERPUD1",9709
"FAM131B",9715
"BCLAF1",9774
"KEAP1",9817
"SETDB1",9869
"SRGAP3",9901
"MAFB",9935
