Entrez	HUGO	IMPACT	Vogelstein	Sanger-CGC	QUEST-34	Tumor-suppressor-gene	Oncogene
2065	ERBB3	1	0	0	0		1
2264	FGFR4	1	0	0	1		1
1111	CHEK1	1	0	0	0	1	0
1399	CRKL	1	0	0	0	0	1
4921	DDR2	1	0	0	1		
2044	EPHA5	1	0	0	0		
2047	EPHB1	1	0	0	0		
2099	ESR1	1	0	0	0		1
2321	FLT1	1	0	0	0		
2324	FLT4	1	0	0	0		
2903	GRIN2A	1	0	0	0		
2932	GSK3B	1	0	0	0		
3480	IGF1R	1	0	0	0		
9641	IKBKE	1	0	0	0		
8660	IRS2	1	0	0	0		
5605	MAP2K2	1	0	0	0		
4170	MCL1	1	0	0	0		
100271849	MEF2B	1	0	0	0		
4361	MRE11A	1	0	0	0		
4915	NTRK2	1	0	0	0		
253260	RICTOR	1	0	0	0		
57521	RPTOR	1	0	0	0		
6714	SRC	1	0	0	0		
242	ALOX12B	1	0	0	0	0	0
22894	DIS3	1	0	0	0		
4854	NOTCH3	1	0	0	0		
4855	NOTCH4	1	0	0	0		
57144	PAK7	1	0	0	0		
142	PARP1	1	0	0	0		
5288	PIK3C2G	1	0	0	0		
10957	PNRC1	1	0	0	0		
10111	RAD50	1	0	0	0		
7307	U2AF1	1	1	1	0		
58508	MLL3	1	1	1	0	1	0
8880	FUBP1	1	1	1	0	1	0
6927	HNF1A	1	1	1	0		
1786	DNMT1	1	1	0	0		
57492	ARID1B	1	1	0	0		
2068	ERCC2	1	0	1	0		
23405	DICER1	1	0	1	0		
2073	ERCC5	1	0	1	0		
2271	FH	1	0	1	0		
201163	FLCN	1	0	1	0		
8929	PHOX2B	1	0	1	0		
6390	SDHB	1	0	1	0		
80312	TET1	1	0	1	0		
1026	CDKN1A	1	0	0	0	1	0
2195	FAT1	1	0	0	0	1	0
5879	RAC1	1	0	0	0		
5291	PIK3CB	1	0	0	0		1
598	BCL2L1	1	0	0	0	1	1
